Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,20,20,37.4,10.8,23.4,0.463,3.5,10.8,0.324,7.3,12.6,0.582,0.537,10.1,12.5,0.811,0.9,7.9,8.8,9.1,1.7,0.6,4.2,2.6,35.2,,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,26,26,33,10.9,19.5,0.559,2.2,5.1,0.432,8.7,14.5,0.604,0.615,8.4,9.5,0.879,0.5,4.2,4.7,6.4,1.4,0.8,1.9,2,32.4,,gilgesh01
3,Tyrese Maxey,25,PHI,PG,23,23,39.9,10.7,22.9,0.467,3.7,9.3,0.391,7,13.6,0.519,0.546,6.4,7.3,0.881,0.3,4.4,4.7,7.2,1.7,0.9,2.7,2.3,31.5,,maxeyty01
4,Donovan Mitchell,29,CLE,SG,26,26,34.4,10.7,21.7,0.493,4,10.5,0.383,6.7,11.2,0.597,0.586,5.3,6.3,0.847,0.9,3.7,4.5,5.5,1.4,0.3,3.3,2.4,30.7,,mitchdo01
5,Nikola Jokić,30,DEN,C,26,26,35.1,10.7,17.5,0.612,2.1,5,0.426,8.6,12.5,0.686,0.673,6.1,7.2,0.84,2.9,9.4,12.3,10.9,1.4,0.8,3.5,2.8,29.6,,jokicni01
6,Jaylen Brown,29,BOS,SF,25,25,33.8,10.8,21.5,0.5,2.1,5.8,0.361,8.7,15.8,0.551,0.548,5.7,7.4,0.769,1.3,4.9,6.2,4.9,1.1,0.5,3.6,3.1,29.3,,brownja02
7,Giannis Antetokounmpo,31,MIL,PF,17,17,29.1,11.1,17.3,0.639,0.6,1.4,0.435,10.5,15.9,0.657,0.656,6.2,9.8,0.635,3.3,6.8,10.1,6.1,0.9,0.9,3.3,2.8,28.9,,antetgi01
8,Stephen Curry,37,GSW,PG,19,19,31.4,9.4,19.8,0.475,5,12.4,0.404,4.4,7.5,0.592,0.601,5,5.5,0.913,0.4,3.6,4,4.1,1.3,0.5,3,2.1,28.8,,curryst01
9,Jalen Brunson,29,NYK,PG,24,24,35,10.2,21.1,0.484,2.8,7.4,0.376,7.4,13.7,0.543,0.55,5.5,6.5,0.834,0.6,2.7,3.3,6.4,0.8,0.1,2.3,2.4,28.7,,brunsja01
10,Anthony Edwards,24,MIN,SG,20,20,34.4,9.7,19.3,0.5,3.4,8.1,0.416,6.3,11.3,0.56,0.587,6,7.2,0.833,0.8,4.2,4.9,3.8,1.2,0.8,3,2.1,28.7,,edwaran01
